"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","29 Jan 2019","8865.30","8904.90","8825.60","8875.65"
"NIFTY 500","28 Jan 2019","8999.30","9001.15","8849.95","8876.60"
"NIFTY 500","25 Jan 2019","9085.60","9133.15","8974.55","8994.35"
"NIFTY 500","24 Jan 2019","9080.25","9086.35","9039.45","9072.20"
"NIFTY 500","23 Jan 2019","9138.75","9151.05","9055.15","9068.85"
"NIFTY 500","22 Jan 2019","9146.30","9146.30","9075.25","9131.15"
"NIFTY 500","21 Jan 2019","9150.60","9195.80","9125.45","9155.30"
"NIFTY 500","18 Jan 2019","9173.20","9180.30","9113.45","9140.10"
"NIFTY 500","17 Jan 2019","9182.00","9191.85","9119.60","9161.60"
"NIFTY 500","16 Jan 2019","9167.45","9195.05","9150.00","9158.75"
"NIFTY 500","15 Jan 2019","9082.50","9163.30","9082.50","9157.15"
"NIFTY 500","14 Jan 2019","9102.40","9102.90","9014.95","9051.45"
"NIFTY 500","11 Jan 2019","9130.70","9142.30","9057.15","9098.20"
"NIFTY 500","10 Jan 2019","9132.80","9144.00","9102.55","9119.40"
"NIFTY 500","09 Jan 2019","9143.20","9149.35","9050.15","9127.45"
"NIFTY 500","08 Jan 2019","9090.80","9109.10","9052.10","9098.65"
"NIFTY 500","07 Jan 2019","9117.20","9136.30","9064.65","9081.15"
"NIFTY 500","04 Jan 2019","9034.25","9064.85","8978.20","9054.90"
"NIFTY 500","03 Jan 2019","9106.65","9130.00","9006.75","9014.80"
"NIFTY 500","02 Jan 2019","9169.70","9195.25","9065.45","9103.40"
"NIFTY 500","01 Jan 2019","9186.70","9206.05","9128.40","9197.90"
"NIFTY 500","31 Dec 2018","9194.65","9207.10","9159.30","9170.00"
"NIFTY 500","28 Dec 2018","9111.95","9173.60","9109.70","9152.55"
"NIFTY 500","27 Dec 2018","9110.85","9119.80","9070.65","9078.80"
"NIFTY 500","26 Dec 2018","8977.95","9056.20","8879.45","9041.70"
"NIFTY 500","24 Dec 2018","9100.90","9102.05","8992.20","9002.45"
"NIFTY 500","21 Dec 2018","9236.55","9255.80","9071.45","9082.55"
"NIFTY 500","20 Dec 2018","9188.35","9241.10","9180.00","9234.45"
"NIFTY 500","19 Dec 2018","9203.05","9258.35","9201.55","9246.80"
"NIFTY 500","18 Dec 2018","9126.50","9183.25","9108.10","9177.35"
"NIFTY 500","17 Dec 2018","9127.55","9162.95","9118.50","9153.95"
"NIFTY 500","14 Dec 2018","9072.45","9104.45","9046.45","9091.30"
"NIFTY 500","13 Dec 2018","9078.75","9113.15","9037.85","9077.30"
"NIFTY 500","12 Dec 2018","8882.20","9031.60","8865.00","9021.60"
"NIFTY 500","11 Dec 2018","8655.10","8859.65","8646.55","8845.15"
"NIFTY 500","10 Dec 2018","8789.75","8818.65","8760.15","8769.60"
"NIFTY 500","07 Dec 2018","8917.35","8947.35","8876.55","8940.65"
"NIFTY 500","06 Dec 2018","8975.40","8975.65","8874.95","8883.25"
"NIFTY 500","05 Dec 2018","9075.05","9075.35","8999.65","9029.45"
"NIFTY 500","04 Dec 2018","9125.20","9137.65","9094.85","9116.45"
"NIFTY 500","03 Dec 2018","9153.60","9157.95","9097.50","9126.90"
"NIFTY 500","30 Nov 2018","9107.80","9134.35","9074.70","9109.15"
"NIFTY 500","29 Nov 2018","9051.85","9097.00","9031.05","9081.85"
"NIFTY 500","28 Nov 2018","9001.30","9027.35","8984.50","8993.25"
"NIFTY 500","27 Nov 2018","8938.30","8990.45","8924.40","8983.90"
"NIFTY 500","26 Nov 2018","8913.95","8950.70","8841.10","8943.00"
"NIFTY 500","22 Nov 2018","8952.45","8973.90","8868.20","8879.00"
"NIFTY 500","21 Nov 2018","8973.90","8982.90","8896.10","8940.30"
"NIFTY 500","20 Nov 2018","9033.20","9039.70","8948.75","8960.15"
"NIFTY 500","19 Nov 2018","9031.80","9060.35","8996.35","9052.75"
"NIFTY 500","16 Nov 2018","8975.55","9011.15","8951.50","8993.25"
"NIFTY 500","15 Nov 2018","8926.55","8971.10","8894.95","8954.65"
"NIFTY 500","14 Nov 2018","8967.25","8980.25","8887.95","8921.45"
"NIFTY 500","13 Nov 2018","8834.55","8932.95","8814.60","8923.55"
"NIFTY 500","12 Nov 2018","8967.80","8991.15","8846.40","8859.25"
"NIFTY 500","09 Nov 2018","8947.60","8966.50","8898.00","8946.35"
"NIFTY 500","07 Nov 2018","8938.70","8940.70","8918.05","8933.50"
"NIFTY 500","06 Nov 2018","8902.75","8934.90","8839.65","8870.30"
"NIFTY 500","05 Nov 2018","8904.25","8913.00","8839.80","8877.90"
"NIFTY 500","02 Nov 2018","8844.10","8953.60","8840.20","8899.40"
"NIFTY 500","01 Nov 2018","8798.30","8800.85","8742.50","8772.50"
"NIFTY 500","31 Oct 2018","8617.40","8760.35","8536.00","8753.45"
"NIFTY 500","30 Oct 2018","8607.40","8652.75","8575.05","8600.30"
"NIFTY 500","29 Oct 2018","8457.50","8623.45","8409.60","8610.10"
"NIFTY 500","26 Oct 2018","8473.20","8493.85","8370.80","8417.25"
"NIFTY 500","25 Oct 2018","8476.10","8500.85","8432.50","8473.50"
"NIFTY 500","24 Oct 2018","8585.90","8600.00","8474.55","8555.65"
"NIFTY 500","23 Oct 2018","8502.60","8559.10","8447.45","8489.90"
"NIFTY 500","22 Oct 2018","8717.25","8719.50","8560.55","8576.95"
"NIFTY 500","19 Oct 2018","8676.50","8716.55","8595.45","8640.65"
"NIFTY 500","17 Oct 2018","8982.55","8999.65","8746.75","8758.60"
"NIFTY 500","16 Oct 2018","8849.25","8902.65","8835.40","8893.80"
"NIFTY 500","15 Oct 2018","8815.15","8821.65","8732.30","8812.00"
"NIFTY 500","12 Oct 2018","8649.30","8783.90","8643.35","8767.10"
"NIFTY 500","11 Oct 2018","8501.40","8657.00","8473.55","8565.60"
"NIFTY 500","10 Oct 2018","8590.45","8762.25","8588.35","8748.50"
"NIFTY 500","09 Oct 2018","8635.85","8645.80","8519.30","8562.95"
"NIFTY 500","08 Oct 2018","8611.35","8671.30","8483.15","8602.60"
"NIFTY 500","05 Oct 2018","8793.20","8815.80","8582.15","8624.95"
"NIFTY 500","04 Oct 2018","8963.70","8963.70","8812.00","8854.85"
"NIFTY 500","03 Oct 2018","9147.25","9157.20","9042.05","9056.70"
"NIFTY 500","01 Oct 2018","9107.00","9185.50","8986.40","9165.50"
"NIFTY 500","28 Sep 2018","9230.10","9249.35","9041.65","9116.00"
"NIFTY 500","27 Sep 2018","9319.80","9324.50","9188.60","9202.35"
"NIFTY 500","26 Sep 2018","9367.60","9367.60","9255.35","9302.25"
"NIFTY 500","25 Sep 2018","9238.30","9317.10","9149.00","9303.35"
"NIFTY 500","24 Sep 2018","9445.20","9449.75","9223.25","9243.15"
"NIFTY 500","21 Sep 2018","9585.10","9630.70","9134.55","9425.55"
"NIFTY 500","19 Sep 2018","9633.90","9640.30","9516.25","9545.70"
"NIFTY 500","18 Sep 2018","9701.30","9728.15","9586.00","9594.25"
"NIFTY 500","17 Sep 2018","9754.60","9754.60","9687.30","9696.45"
"NIFTY 500","14 Sep 2018","9724.20","9799.15","9722.75","9792.75"
"NIFTY 500","12 Sep 2018","9641.65","9669.20","9552.20","9660.60"
"NIFTY 500","11 Sep 2018","9770.90","9775.05","9596.50","9607.10"
"NIFTY 500","10 Sep 2018","9862.80","9870.70","9730.20","9740.10"
"NIFTY 500","07 Sep 2018","9834.55","9885.60","9779.35","9875.20"
"NIFTY 500","06 Sep 2018","9801.95","9832.40","9730.85","9815.45"
"NIFTY 500","05 Sep 2018","9795.70","9817.85","9678.20","9764.55"
"NIFTY 500","04 Sep 2018","9933.00","9937.75","9784.25","9806.05"
"NIFTY 500","03 Sep 2018","10049.85","10049.85","9908.70","9921.65"
"NIFTY 500","31 Aug 2018","9978.25","10027.00","9951.55","9992.00"
